Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17
Ruislip,,,26-09-2025,Group 1,https://www.dartsatlas.com/matches/kd05y6CHaZMI,Benjamin Burksfield,First,Rob Message,1,18,LOST,140,7,13,34,6,45,,,,,,,,,,,
Ruislip,,,26-09-2025,Group 1,https://www.dartsatlas.com/matches/kd05y6CHaZMI,Rob Message,Second,Benjamin Burksfield,1,18,WON,55,60,125,100,60,101,,,,,,,,,,,
Ruislip,,,26-09-2025,Group 1,https://www.dartsatlas.com/matches/kd05y6CHaZMI,Benjamin Burksfield,Second,Rob Message,2,24,LOST,83,78,28,19,42,28,68,25,,,,,,,,,
Ruislip,,,26-09-2025,Group 1,https://www.dartsatlas.com/matches/kd05y6CHaZMI,Rob Message,First,Benjamin Burksfield,2,26,WON,24,44,140,41,45,60,40,75,32,,,,,,,,
Ruislip,,,26-09-2025,Group 1,https://www.dartsatlas.com/matches/0eHRrTf3K6Pn,Charlie Hardie,First,Philip Johnson,1,24,WON,60,45,64,100,60,28,80,64,,,,,,,,,
Ruislip,,,26-09-2025,Group 1,https://www.dartsatlas.com/matches/0eHRrTf3K6Pn,Philip Johnson,Second,Charlie Hardie,1,21,LOST,41,24,45,35,66,64,100,,,,,,,,,,
Ruislip,,,26-09-2025,Group 1,https://www.dartsatlas.com/matches/0eHRrTf3K6Pn,Charlie Hardie,Second,Philip Johnson,2,30,LOST,100,60,45,60,60,60,51,25,20,0,,,,,,,
Ruislip,,,26-09-2025,Group 1,https://www.dartsatlas.com/matches/0eHRrTf3K6Pn,Philip Johnson,First,Charlie Hardie,2,31,WON,41,45,87,45,29,11,79,44,68,32,20,,,,,,
Ruislip,,,26-09-2025,Group 1,https://www.dartsatlas.com/matches/0eHRrTf3K6Pn,Charlie Hardie,First,Philip Johnson,3,24,WON,60,81,19,125,68,100,8,40,,,,,,,,,
Ruislip,,,26-09-2025,Group 1,https://www.dartsatlas.com/matches/0eHRrTf3K6Pn,Philip Johnson,Second,Charlie Hardie,3,21,LOST,60,30,45,41,15,45,95,,,,,,,,,,
Ruislip,,,26-09-2025,Group 1,https://www.dartsatlas.com/matches/5co2HyM1OVvD,Jono Harding,Second,Benjamin Burksfield,1,20,WON,43,58,59,66,100,122,53,,,,,,,,,,
Ruislip,,,26-09-2025,Group 1,https://www.dartsatlas.com/matches/5co2HyM1OVvD,Benjamin Burksfield,First,Jono Harding,1,21,LOST,41,100,100,30,11,24,60,,,,,,,,,,
Ruislip,,,26-09-2025,Group 1,https://www.dartsatlas.com/matches/5co2HyM1OVvD,Jono Harding,First,Benjamin Burksfield,2,30,LOST,30,61,27,120,60,100,52,35,0,12,,,,,,,
Ruislip,,,26-09-2025,Group 1,https://www.dartsatlas.com/matches/5co2HyM1OVvD,Benjamin Burksfield,Second,Jono Harding,2,29,WON,41,28,77,40,87,42,60,58,28,40,,,,,,,
Ruislip,,,26-09-2025,Group 1,https://www.dartsatlas.com/matches/5co2HyM1OVvD,Jono Harding,Second,Benjamin Burksfield,3,29,WON,59,45,58,78,45,42,98,36,0,40,,,,,,,
Ruislip,,,26-09-2025,Group 1,https://www.dartsatlas.com/matches/5co2HyM1OVvD,Benjamin Burksfield,First,Jono Harding,3,30,LOST,28,80,60,60,60,53,84,36,8,8,,,,,,,
Ruislip,,,26-09-2025,Group 1,https://www.dartsatlas.com/matches/6tsfJiNBlA6m,Rob Message,Second,Charlie Hardie,1,21,LOST,30,123,60,41,30,67,81,,,,,,,,,,
Ruislip,,,26-09-2025,Group 1,https://www.dartsatlas.com/matches/6tsfJiNBlA6m,Charlie Hardie,First,Rob Message,1,24,WON,60,140,85,45,60,51,20,40,,,,,,,,,
