Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12
Ruislip,,,28/02/2025,Semi-Final,https://www.dartsatlas.com/matches/VX1N2fQskNLJ,John Mcdermott,Second,John Nelson,5,15,LOST,81,100,100,60,53,,,,,,,
Ruislip,,,28/02/2025,Semi-Final,https://www.dartsatlas.com/matches/VX1N2fQskNLJ,John Nelson,First,John Mcdermott,5,16,WON,59,96,100,96,134,16,,,,,,
Ruislip,,,28/02/2025,Semi-Final,https://www.dartsatlas.com/matches/cD6MOdN0W1XT,Tergel Khurelkhuu,First,Charlie Green,1,19,WON,140,140,60,49,108,0,4,,,,,
Ruislip,,,28/02/2025,Semi-Final,https://www.dartsatlas.com/matches/cD6MOdN0W1XT,Charlie Green,Second,Tergel Khurelkhuu,1,18,LOST,85,81,100,90,26,59,,,,,,
Ruislip,,,28/02/2025,Semi-Final,https://www.dartsatlas.com/matches/cD6MOdN0W1XT,Tergel Khurelkhuu,Second,Charlie Green,2,22,WON,68,40,59,100,121,97,8,8,,,,
Ruislip,,,28/02/2025,Semi-Final,https://www.dartsatlas.com/matches/cD6MOdN0W1XT,Charlie Green,First,Tergel Khurelkhuu,2,24,LOST,60,30,60,100,134,77,20,10,,,,
Ruislip,,,28/02/2025,Semi-Final,https://www.dartsatlas.com/matches/cD6MOdN0W1XT,Tergel Khurelkhuu,First,Charlie Green,3,18,WON,100,60,59,59,105,118,,,,,,
Ruislip,,,28/02/2025,Semi-Final,https://www.dartsatlas.com/matches/cD6MOdN0W1XT,Charlie Green,Second,Tergel Khurelkhuu,3,15,LOST,60,100,25,44,140,,,,,,,
Ruislip,,,28/02/2025,Semi-Final,https://www.dartsatlas.com/matches/cD6MOdN0W1XT,Tergel Khurelkhuu,Second,Charlie Green,4,15,LOST,100,60,95,134,108,,,,,,,
Ruislip,,,28/02/2025,Semi-Final,https://www.dartsatlas.com/matches/cD6MOdN0W1XT,Charlie Green,First,Tergel Khurelkhuu,4,17,WON,60,80,96,171,74,20,,,,,,
Ruislip,,,28/02/2025,Semi-Final,https://www.dartsatlas.com/matches/cD6MOdN0W1XT,Tergel Khurelkhuu,First,Charlie Green,5,17,WON,129,100,60,84,88,40,,,,,,
Ruislip,,,28/02/2025,Semi-Final,https://www.dartsatlas.com/matches/cD6MOdN0W1XT,Charlie Green,Second,Tergel Khurelkhuu,5,15,LOST,80,44,100,23,60,,,,,,,
Ruislip,,,28/02/2025,Semi-Final,https://www.dartsatlas.com/matches/cD6MOdN0W1XT,Tergel Khurelkhuu,Second,Charlie Green,6,21,WON,81,43,57,100,55,117,48,,,,,
Ruislip,,,28/02/2025,Semi-Final,https://www.dartsatlas.com/matches/cD6MOdN0W1XT,Charlie Green,First,Tergel Khurelkhuu,6,21,LOST,43,44,94,100,125,25,30,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/zzrgjqMcZBMr,Kean Evans,Second,John Mcdermott,1,24,LOST,41,60,41,60,60,26,22,60,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/zzrgjqMcZBMr,John Mcdermott,First,Kean Evans,1,27,WON,85,44,21,66,100,21,95,37,32,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/zzrgjqMcZBMr,Kean Evans,First,John Mcdermott,2,24,LOST,44,45,98,100,100,80,18,14,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/zzrgjqMcZBMr,John Mcdermott,Second,Kean Evans,2,24,WON,60,40,41,100,42,71,85,62,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/zzrgjqMcZBMr,Kean Evans,Second,John Mcdermott,3,23,WON,43,60,140,100,45,46,35,32,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/zzrgjqMcZBMr,John Mcdermott,First,Kean Evans,3,24,LOST,60,22,41,60,40,26,66,66,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/zzrgjqMcZBMr,Kean Evans,First,John Mcdermott,4,27,LOST,43,40,85,60,59,60,44,94,0,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/zzrgjqMcZBMr,John Mcdermott,Second,Kean Evans,4,26,WON,81,85,66,98,131,30,0,6,4,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/zzrgjqMcZBMr,Kean Evans,Second,John Mcdermott,5,21,LOST,81,100,45,59,81,65,38,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/zzrgjqMcZBMr,John Mcdermott,First,Kean Evans,5,23,WON,140,36,60,64,26,55,60,60,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/Y7ujVaS7rbDG,Rob Message,First,John Nelson,1,21,LOST,100,21,100,30,100,43,47,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/Y7ujVaS7rbDG,John Nelson,Second,Rob Message,1,19,WON,60,180,55,81,52,33,40,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/Y7ujVaS7rbDG,Rob Message,Second,John Nelson,2,18,LOST,60,54,30,34,96,60,,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/Y7ujVaS7rbDG,John Nelson,First,Rob Message,2,20,WON,81,99,32,93,115,69,12,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/Y7ujVaS7rbDG,Rob Message,First,John Nelson,3,27,LOST,60,60,44,100,100,81,50,0,0,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/Y7ujVaS7rbDG,John Nelson,Second,Rob Message,3,25,WON,100,96,145,40,100,10,6,2,2,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/Y7ujVaS7rbDG,Rob Message,Second,John Nelson,4,18,LOST,41,60,81,26,83,29,,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/Y7ujVaS7rbDG,John Nelson,First,Rob Message,4,19,WON,100,96,85,60,96,56,8,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/Sf8AHUgvnLPw,Tergel Khurelkhuu,First,Terry Young,1,15,WON,177,60,81,99,84,,,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/Sf8AHUgvnLPw,Terry Young,Second,Tergel Khurelkhuu,1,12,LOST,60,100,43,60,,,,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/Sf8AHUgvnLPw,Tergel Khurelkhuu,Second,Terry Young,2,18,WON,100,100,140,64,41,56,,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/Sf8AHUgvnLPw,Terry Young,First,Tergel Khurelkhuu,2,18,LOST,30,58,100,100,60,121,,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/Sf8AHUgvnLPw,Tergel Khurelkhuu,First,Terry Young,3,18,WON,97,60,59,129,83,73,,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/Sf8AHUgvnLPw,Terry Young,Second,Tergel Khurelkhuu,3,15,LOST,125,47,140,60,57,,,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/Sf8AHUgvnLPw,Tergel Khurelkhuu,Second,Terry Young,4,15,LOST,99,59,43,97,98,,,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/Sf8AHUgvnLPw,Terry Young,First,Tergel Khurelkhuu,4,17,WON,100,135,99,25,60,82,,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/Sf8AHUgvnLPw,Tergel Khurelkhuu,First,Terry Young,5,16,WON,140,140,100,81,30,10,,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/Sf8AHUgvnLPw,Terry Young,Second,Tergel Khurelkhuu,5,15,LOST,81,40,40,121,42,,,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/AT77yTCxCeCR,Charlie Green,First,Charlie Hardie,1,18,LOST,58,99,60,58,85,89,,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/AT77yTCxCeCR,Charlie Hardie,Second,Charlie Green,1,17,WON,60,85,100,100,59,97,,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/AT77yTCxCeCR,Charlie Green,Second,Charlie Hardie,2,34,WON,43,60,41,42,60,45,140,50,10,8,0,2
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/AT77yTCxCeCR,Charlie Hardie,First,Charlie Green,2,36,LOST,45,45,140,45,92,54,60,13,0,5,0,0
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/AT77yTCxCeCR,Charlie Green,First,Charlie Hardie,3,21,WON,120,80,66,60,49,101,25,,,,,
