Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12
Ruislip,,,31/10/2025,Final,https://www.dartsatlas.com/matches/cwK3kHtDYSne,Edgar Znutins,Second,Liam Saxon,1,18,LOST,45,96,58,43,79,40,,,,,,
Ruislip,,,31/10/2025,Final,https://www.dartsatlas.com/matches/cwK3kHtDYSne,Liam Saxon,First,Edgar Znutins,1,19,WON,45,57,96,171,48,52,32,,,,,
Ruislip,,,31/10/2025,Final,https://www.dartsatlas.com/matches/cwK3kHtDYSne,Edgar Znutins,First,Liam Saxon,2,24,LOST,41,80,58,58,58,58,60,27,,,,
Ruislip,,,31/10/2025,Final,https://www.dartsatlas.com/matches/cwK3kHtDYSne,Liam Saxon,Second,Edgar Znutins,2,23,WON,82,57,58,97,57,58,60,32,,,,
Ruislip,,,31/10/2025,Final,https://www.dartsatlas.com/matches/cwK3kHtDYSne,Edgar Znutins,Second,Liam Saxon,3,12,LOST,100,93,60,100,,,,,,,,
Ruislip,,,31/10/2025,Final,https://www.dartsatlas.com/matches/cwK3kHtDYSne,Liam Saxon,First,Edgar Znutins,3,13,WON,83,140,140,98,40,,,,,,,
Ruislip,,,31/10/2025,Final,https://www.dartsatlas.com/matches/cwK3kHtDYSne,Edgar Znutins,First,Liam Saxon,4,18,WON,121,40,59,55,85,141,,,,,,
Ruislip,,,31/10/2025,Final,https://www.dartsatlas.com/matches/cwK3kHtDYSne,Liam Saxon,Second,Edgar Znutins,4,15,LOST,140,59,58,140,68,,,,,,,
Ruislip,,,31/10/2025,Final,https://www.dartsatlas.com/matches/cwK3kHtDYSne,Edgar Znutins,Second,Liam Saxon,5,15,LOST,40,97,84,99,97,,,,,,,
Ruislip,,,31/10/2025,Final,https://www.dartsatlas.com/matches/cwK3kHtDYSne,Liam Saxon,First,Edgar Znutins,5,18,WON,58,57,60,134,96,96,,,,,,
Ruislip,,,31/10/2025,Final,https://www.dartsatlas.com/matches/cwK3kHtDYSne,Edgar Znutins,First,Liam Saxon,6,21,LOST,100,45,85,45,42,58,58,,,,,
Ruislip,,,31/10/2025,Final,https://www.dartsatlas.com/matches/cwK3kHtDYSne,Liam Saxon,Second,Edgar Znutins,6,20,WON,96,97,85,97,59,47,20,,,,,
Ruislip,,,31/10/2025,Final,https://www.dartsatlas.com/matches/cwK3kHtDYSne,Edgar Znutins,Second,Liam Saxon,7,18,LOST,60,100,42,133,47,59,,,,,,
Ruislip,,,31/10/2025,Final,https://www.dartsatlas.com/matches/cwK3kHtDYSne,Liam Saxon,First,Edgar Znutins,7,21,WON,80,81,59,100,90,51,40,,,,,
Ruislip,,,31/10/2025,Semi-Final,https://www.dartsatlas.com/matches/cKW6rESstTep,Edgar Znutins,First,George Bamber,1,17,WON,100,64,94,43,100,100,,,,,,
Ruislip,,,31/10/2025,Semi-Final,https://www.dartsatlas.com/matches/cKW6rESstTep,George Bamber,Second,Edgar Znutins,1,15,LOST,140,81,100,40,80,,,,,,,
Ruislip,,,31/10/2025,Semi-Final,https://www.dartsatlas.com/matches/cKW6rESstTep,Edgar Znutins,Second,George Bamber,2,24,LOST,60,60,83,40,60,60,86,44,,,,
Ruislip,,,31/10/2025,Semi-Final,https://www.dartsatlas.com/matches/cKW6rESstTep,George Bamber,First,Edgar Znutins,2,26,WON,38,78,58,93,47,42,21,99,25,,,
Ruislip,,,31/10/2025,Semi-Final,https://www.dartsatlas.com/matches/cKW6rESstTep,Edgar Znutins,First,George Bamber,3,21,LOST,125,60,59,37,45,59,41,,,,,
Ruislip,,,31/10/2025,Semi-Final,https://www.dartsatlas.com/matches/cKW6rESstTep,George Bamber,Second,Edgar Znutins,3,19,WON,46,125,100,68,65,57,40,,,,,
Ruislip,,,31/10/2025,Semi-Final,https://www.dartsatlas.com/matches/cKW6rESstTep,Edgar Znutins,Second,George Bamber,4,18,WON,100,140,40,64,85,72,,,,,,
Ruislip,,,31/10/2025,Semi-Final,https://www.dartsatlas.com/matches/cKW6rESstTep,George Bamber,First,Edgar Znutins,4,18,LOST,43,57,57,58,81,83,,,,,,
Ruislip,,,31/10/2025,Semi-Final,https://www.dartsatlas.com/matches/cKW6rESstTep,Edgar Znutins,First,George Bamber,5,21,LOST,100,81,96,44,45,43,52,,,,,
Ruislip,,,31/10/2025,Semi-Final,https://www.dartsatlas.com/matches/cKW6rESstTep,George Bamber,Second,Edgar Znutins,5,20,WON,55,23,120,43,100,60,100,,,,,
Ruislip,,,31/10/2025,Semi-Final,https://www.dartsatlas.com/matches/cKW6rESstTep,Edgar Znutins,Second,George Bamber,6,20,WON,60,45,100,60,140,36,60,,,,,
Ruislip,,,31/10/2025,Semi-Final,https://www.dartsatlas.com/matches/cKW6rESstTep,George Bamber,First,Edgar Znutins,6,21,LOST,85,60,46,30,77,39,49,,,,,
Ruislip,,,31/10/2025,Semi-Final,https://www.dartsatlas.com/matches/cKW6rESstTep,Edgar Znutins,First,George Bamber,7,22,WON,95,43,43,100,100,100,0,20,,,,
Ruislip,,,31/10/2025,Semi-Final,https://www.dartsatlas.com/matches/cKW6rESstTep,George Bamber,Second,Edgar Znutins,7,21,LOST,21,81,24,30,66,29,100,,,,,
Ruislip,,,31/10/2025,Semi-Final,https://www.dartsatlas.com/matches/cKW6rESstTep,Edgar Znutins,Second,George Bamber,8,23,WON,60,46,121,82,60,82,34,16,,,,
