Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12
Ruislip,,,10/10/2025,Final,https://www.dartsatlas.com/matches/MDDev5ow1S3W,Edgar Znutins,Second,Liam Saxon,1,18,LOST,50,58,57,59,100,57,,,,,,
Ruislip,,,10/10/2025,Final,https://www.dartsatlas.com/matches/MDDev5ow1S3W,Liam Saxon,First,Edgar Znutins,1,19,WON,60,100,57,100,55,93,36,,,,,
Ruislip,,,10/10/2025,Final,https://www.dartsatlas.com/matches/MDDev5ow1S3W,Edgar Znutins,First,Liam Saxon,2,18,LOST,60,60,41,100,96,39,,,,,,
Ruislip,,,10/10/2025,Final,https://www.dartsatlas.com/matches/MDDev5ow1S3W,Liam Saxon,Second,Edgar Znutins,2,17,WON,140,58,57,125,74,47,,,,,,
Ruislip,,,10/10/2025,Final,https://www.dartsatlas.com/matches/MDDev5ow1S3W,Edgar Znutins,Second,Liam Saxon,3,15,LOST,100,60,41,100,60,,,,,,,
Ruislip,,,10/10/2025,Final,https://www.dartsatlas.com/matches/MDDev5ow1S3W,Liam Saxon,First,Edgar Znutins,3,18,WON,42,82,100,140,99,38,,,,,,
Ruislip,,,10/10/2025,Final,https://www.dartsatlas.com/matches/MDDev5ow1S3W,Edgar Znutins,First,Liam Saxon,4,18,LOST,60,57,40,44,60,45,,,,,,
Ruislip,,,10/10/2025,Final,https://www.dartsatlas.com/matches/MDDev5ow1S3W,Liam Saxon,Second,Edgar Znutins,4,18,WON,140,93,58,99,71,40,,,,,,
Ruislip,,,10/10/2025,Final,https://www.dartsatlas.com/matches/MDDev5ow1S3W,Edgar Znutins,Second,Liam Saxon,5,12,LOST,77,42,98,100,,,,,,,,
Ruislip,,,10/10/2025,Final,https://www.dartsatlas.com/matches/MDDev5ow1S3W,Liam Saxon,First,Edgar Znutins,5,13,WON,99,99,133,130,40,,,,,,,
Ruislip,,,10/10/2025,Final,https://www.dartsatlas.com/matches/MDDev5ow1S3W,Edgar Znutins,First,Liam Saxon,6,30,LOST,5,60,45,58,35,45,60,83,54,36,,
Ruislip,,,10/10/2025,Final,https://www.dartsatlas.com/matches/MDDev5ow1S3W,Liam Saxon,Second,Edgar Znutins,6,28,WON,140,56,57,40,58,78,54,0,0,18,,
Ruislip,,,10/10/2025,Semi-Final,https://www.dartsatlas.com/matches/JNWP59ZAzdzy,Edgar Znutins,First,Troy Power,1,23,WON,60,60,100,22,59,83,97,20,,,,
