Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17
Wood Green,,,21/02/2025,Group 1,https://www.dartsatlas.com/matches/3y2iO5L26jDl,Paul Upfold,Second,Jozsef Varga,1,18,LOST,11,81,119,59,60,25,,,,,,,,,,,
Wood Green,,,21/02/2025,Group 1,https://www.dartsatlas.com/matches/3y2iO5L26jDl,Jozsef Varga,First,Paul Upfold,1,19,WON,59,57,40,57,100,180,8,,,,,,,,,,
Wood Green,,,21/02/2025,Group 1,https://www.dartsatlas.com/matches/3y2iO5L26jDl,Paul Upfold,First,Jozsef Varga,2,30,LOST,94,15,41,38,60,57,46,58,86,0,,,,,,,
Wood Green,,,21/02/2025,Group 1,https://www.dartsatlas.com/matches/3y2iO5L26jDl,Jozsef Varga,Second,Paul Upfold,2,29,WON,7,46,100,35,29,60,60,57,82,25,,,,,,,
Wood Green,,,21/02/2025,Group 1,https://www.dartsatlas.com/matches/yVFXRh6tMo5j,Odbileg Khayankhyarvaa,Second,Sean Lahiff,1,18,LOST,42,140,59,41,79,100,,,,,,,,,,,
Wood Green,,,21/02/2025,Group 1,https://www.dartsatlas.com/matches/yVFXRh6tMo5j,Sean Lahiff,First,Odbileg Khayankhyarvaa,1,21,WON,95,85,100,81,60,40,40,,,,,,,,,,
Wood Green,,,21/02/2025,Group 1,https://www.dartsatlas.com/matches/yVFXRh6tMo5j,Odbileg Khayankhyarvaa,First,Sean Lahiff,2,17,WON,60,180,60,139,42,20,,,,,,,,,,,
Wood Green,,,21/02/2025,Group 1,https://www.dartsatlas.com/matches/yVFXRh6tMo5j,Sean Lahiff,Second,Odbileg Khayankhyarvaa,2,15,LOST,45,75,11,55,60,,,,,,,,,,,,
Wood Green,,,21/02/2025,Group 1,https://www.dartsatlas.com/matches/yVFXRh6tMo5j,Odbileg Khayankhyarvaa,Second,Sean Lahiff,3,25,WON,41,40,100,81,63,60,56,40,20,,,,,,,,
Wood Green,,,21/02/2025,Group 1,https://www.dartsatlas.com/matches/yVFXRh6tMo5j,Sean Lahiff,First,Odbileg Khayankhyarvaa,3,27,LOST,45,25,59,60,31,45,60,100,44,,,,,,,,
