Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14
Morden,,,26-10-2025,Group 1,https://www.dartsatlas.com/matches/pXhdfGcg0Nbv,Kelly Gower,First,Jono Harding,1,36,WON,47,124,57,41,57,33,29,43,38,0,16,16,,
Morden,,,26-10-2025,Group 1,https://www.dartsatlas.com/matches/pXhdfGcg0Nbv,Jono Harding,Second,Kelly Gower,1,33,LOST,57,19,86,60,60,60,78,23,38,6,0,,,
Morden,,,26-10-2025,Group 1,https://www.dartsatlas.com/matches/pXhdfGcg0Nbv,Kelly Gower,Second,Jono Harding,2,33,LOST,61,44,45,21,87,6,21,57,29,17,47,,,
Morden,,,26-10-2025,Group 1,https://www.dartsatlas.com/matches/pXhdfGcg0Nbv,Jono Harding,First,Kelly Gower,2,36,WON,97,45,60,99,100,44,47,0,0,1,0,8,,
Morden,,,26-10-2025,Group 1,https://www.dartsatlas.com/matches/pXhdfGcg0Nbv,Kelly Gower,First,Jono Harding,3,30,LOST,31,22,71,31,85,46,29,23,79,44,,,,
Morden,,,26-10-2025,Group 1,https://www.dartsatlas.com/matches/pXhdfGcg0Nbv,Jono Harding,Second,Kelly Gower,3,28,WON,41,41,30,7,41,57,41,60,147,36,,,,
Morden,,,26-10-2025,Group 1,https://www.dartsatlas.com/matches/QyhWQJPgcsG9,John Power,First,Warren Upfold,1,20,WON,7,80,140,83,95,56,40,,,,,,,
Morden,,,26-10-2025,Group 1,https://www.dartsatlas.com/matches/QyhWQJPgcsG9,Warren Upfold,Second,John Power,1,18,LOST,100,75,60,99,45,76,,,,,,,,
Morden,,,26-10-2025,Group 1,https://www.dartsatlas.com/matches/QyhWQJPgcsG9,John Power,Second,Warren Upfold,2,19,WON,41,45,140,87,60,88,40,,,,,,,
Morden,,,26-10-2025,Group 1,https://www.dartsatlas.com/matches/QyhWQJPgcsG9,Warren Upfold,First,John Power,2,21,LOST,41,26,30,9,40,26,60,,,,,,,
Morden,,,26-10-2025,Group 1,https://www.dartsatlas.com/matches/EfFRDJO8DQCU,John Green,First,James Willcox,1,21,WON,100,41,100,70,100,58,32,,,,,,,
Morden,,,26-10-2025,Group 1,https://www.dartsatlas.com/matches/EfFRDJO8DQCU,James Willcox,Second,John Green,1,18,LOST,30,58,23,100,115,121,,,,,,,,
