Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12
Morden,,,21-09-2025,Final,https://www.dartsatlas.com/matches/RpPJ4xLFVNN7,Tom Riding,First,Shane Edwards,1,18,LOST,60,125,55,77,140,28,,,,,,
Morden,,,21-09-2025,Final,https://www.dartsatlas.com/matches/RpPJ4xLFVNN7,Shane Edwards,Second,Tom Riding,1,17,WON,46,137,37,125,100,56,,,,,,
Morden,,,21-09-2025,Final,https://www.dartsatlas.com/matches/RpPJ4xLFVNN7,Tom Riding,Second,Shane Edwards,2,17,WON,121,100,60,135,29,56,,,,,,
Morden,,,21-09-2025,Final,https://www.dartsatlas.com/matches/RpPJ4xLFVNN7,Shane Edwards,First,Tom Riding,2,18,LOST,60,96,47,58,95,51,,,,,,
Morden,,,21-09-2025,Final,https://www.dartsatlas.com/matches/RpPJ4xLFVNN7,Tom Riding,First,Shane Edwards,3,16,WON,41,100,136,140,72,12,,,,,,
Morden,,,21-09-2025,Final,https://www.dartsatlas.com/matches/RpPJ4xLFVNN7,Shane Edwards,Second,Tom Riding,3,15,LOST,24,134,60,60,32,,,,,,,
Morden,,,21-09-2025,Final,https://www.dartsatlas.com/matches/RpPJ4xLFVNN7,Tom Riding,Second,Shane Edwards,4,18,LOST,100,60,93,41,89,78,,,,,,
Morden,,,21-09-2025,Final,https://www.dartsatlas.com/matches/RpPJ4xLFVNN7,Shane Edwards,First,Tom Riding,4,19,WON,57,42,140,56,90,98,18,,,,,
Morden,,,21-09-2025,Final,https://www.dartsatlas.com/matches/RpPJ4xLFVNN7,Tom Riding,First,Shane Edwards,5,18,WON,42,60,80,60,137,122,,,,,,
Morden,,,21-09-2025,Final,https://www.dartsatlas.com/matches/RpPJ4xLFVNN7,Shane Edwards,Second,Tom Riding,5,15,LOST,93,45,99,58,56,,,,,,,
Morden,,,21-09-2025,Final,https://www.dartsatlas.com/matches/RpPJ4xLFVNN7,Tom Riding,Second,Shane Edwards,6,12,LOST,60,100,100,125,,,,,,,,
Morden,,,21-09-2025,Final,https://www.dartsatlas.com/matches/RpPJ4xLFVNN7,Shane Edwards,First,Tom Riding,6,15,WON,140,91,100,128,42,,,,,,,
Morden,,,21-09-2025,Final,https://www.dartsatlas.com/matches/RpPJ4xLFVNN7,Tom Riding,First,Shane Edwards,7,15,LOST,83,40,100,100,100,,,,,,,
Morden,,,21-09-2025,Final,https://www.dartsatlas.com/matches/RpPJ4xLFVNN7,Shane Edwards,Second,Tom Riding,7,15,WON,180,100,41,140,40,,,,,,,
Morden,,,21-09-2025,Final,https://www.dartsatlas.com/matches/RpPJ4xLFVNN7,Tom Riding,Second,Shane Edwards,8,26,WON,125,60,100,60,71,60,9,0,16,,,
Morden,,,21-09-2025,Final,https://www.dartsatlas.com/matches/RpPJ4xLFVNN7,Shane Edwards,First,Tom Riding,8,27,LOST,93,24,42,55,121,94,47,21,2,,,
Morden,,,21-09-2025,Final,https://www.dartsatlas.com/matches/RpPJ4xLFVNN7,Tom Riding,First,Shane Edwards,9,18,LOST,60,41,79,60,44,140,,,,,,
Morden,,,21-09-2025,Final,https://www.dartsatlas.com/matches/RpPJ4xLFVNN7,Shane Edwards,Second,Tom Riding,9,18,WON,180,140,59,32,72,18,,,,,,
Morden,,,21-09-2025,Final,https://www.dartsatlas.com/matches/RpPJ4xLFVNN7,Tom Riding,Second,Shane Edwards,10,18,WON,35,81,100,100,74,111,,,,,,
Morden,,,21-09-2025,Final,https://www.dartsatlas.com/matches/RpPJ4xLFVNN7,Shane Edwards,First,Tom Riding,10,18,LOST,131,93,57,60,100,40,,,,,,
Morden,,,21-09-2025,Final,https://www.dartsatlas.com/matches/RpPJ4xLFVNN7,Tom Riding,First,Shane Edwards,11,15,LOST,100,100,180,57,32,,,,,,,
Morden,,,21-09-2025,Final,https://www.dartsatlas.com/matches/RpPJ4xLFVNN7,Shane Edwards,Second,Tom Riding,11,15,WON,140,140,85,128,8,,,,,,,
Morden,,,21-09-2025,Semi-Final,https://www.dartsatlas.com/matches/J4qfxYms4tTy,Paul Upfold,First,Tom Riding,1,17,WON,100,140,60,45,100,56,,,,,,
Morden,,,21-09-2025,Semi-Final,https://www.dartsatlas.com/matches/J4qfxYms4tTy,Tom Riding,Second,Paul Upfold,1,15,LOST,92,60,100,60,99,,,,,,,
Morden,,,21-09-2025,Semi-Final,https://www.dartsatlas.com/matches/J4qfxYms4tTy,Paul Upfold,Second,Tom Riding,2,18,LOST,97,44,80,85,85,82,,,,,,
Morden,,,21-09-2025,Semi-Final,https://www.dartsatlas.com/matches/J4qfxYms4tTy,Tom Riding,First,Paul Upfold,2,19,WON,134,32,97,136,34,60,8,,,,,
Morden,,,21-09-2025,Semi-Final,https://www.dartsatlas.com/matches/J4qfxYms4tTy,Paul Upfold,First,Tom Riding,3,15,LOST,86,28,100,137,31,,,,,,,
Morden,,,21-09-2025,Semi-Final,https://www.dartsatlas.com/matches/J4qfxYms4tTy,Tom Riding,Second,Paul Upfold,3,13,WON,100,180,60,125,36,,,,,,,
Morden,,,21-09-2025,Semi-Final,https://www.dartsatlas.com/matches/J4qfxYms4tTy,Paul Upfold,Second,Tom Riding,4,21,LOST,43,97,85,38,80,92,36,,,,,
