Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/Pahpch02OdfK,Ryan Smith,Second,Kean Evans,1,24,WON,121,26,58,55,85,24,17,115,,,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/Pahpch02OdfK,Kean Evans,First,Ryan Smith,1,24,LOST,60,60,100,59,41,60,57,61,,,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/Pahpch02OdfK,Ryan Smith,First,Kean Evans,2,27,LOST,92,40,43,60,43,52,44,42,60,,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/Pahpch02OdfK,Kean Evans,Second,Ryan Smith,2,25,WON,41,60,60,100,81,59,7,57,36,,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/Pahpch02OdfK,Ryan Smith,Second,Kean Evans,3,27,LOST,58,36,47,29,52,59,135,13,52,,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/Pahpch02OdfK,Kean Evans,First,Ryan Smith,3,28,WON,58,40,45,100,60,58,55,44,33,8,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/nZdEyL7yAFVi,Luke Lambourne,First,Jake Willingham,1,33,WON,45,45,58,100,28,121,44,40,0,10,10,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/nZdEyL7yAFVi,Jake Willingham,Second,Luke Lambourne,1,30,LOST,76,26,26,41,60,23,67,37,45,68,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/nZdEyL7yAFVi,Luke Lambourne,Second,Jake Willingham,2,43,WON,11,97,100,26,100,57,38,32,0,20,10,0,8,0,2,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/nZdEyL7yAFVi,Jake Willingham,First,Luke Lambourne,2,45,LOST,40,26,100,11,11,60,41,80,23,28,46,3,22,0,6,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/dRlb6Rzs3lzs,Charlie Hardie,Second,Ryan Smith,1,30,WON,40,59,26,41,57,95,59,56,52,16,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/dRlb6Rzs3lzs,Ryan Smith,First,Charlie Hardie,1,30,LOST,52,32,180,40,50,30,51,60,0,0,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/dRlb6Rzs3lzs,Charlie Hardie,First,Ryan Smith,2,25,WON,140,55,41,57,38,85,45,0,40,,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/dRlb6Rzs3lzs,Ryan Smith,Second,Charlie Hardie,2,24,LOST,46,26,61,26,85,81,60,25,,,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/Bm6WpPe6gFLT,Kean Evans,Second,Luke Lambourne,1,27,LOST,41,100,45,27,47,125,60,38,0,,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/Bm6WpPe6gFLT,Luke Lambourne,First,Kean Evans,1,30,WON,96,60,30,24,43,44,27,45,37,95,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/Bm6WpPe6gFLT,Kean Evans,First,Luke Lambourne,2,25,WON,7,60,60,125,60,55,120,0,14,,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/Bm6WpPe6gFLT,Luke Lambourne,Second,Kean Evans,2,24,LOST,60,45,82,58,45,47,24,54,,,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/Bm6WpPe6gFLT,Kean Evans,Second,Luke Lambourne,3,48,LOST,97,100,40,100,41,44,23,36,6,10,0,2,0,0,0,0,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/Bm6WpPe6gFLT,Luke Lambourne,First,Kean Evans,3,50,WON,22,44,99,45,60,40,59,44,48,36,0,0,0,0,2,0,2
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/STCaJMBPSRtg,Jake Willingham,Second,Charlie Hardie,1,36,LOST,26,66,49,22,30,7,47,7,7,34,45,2,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/STCaJMBPSRtg,Charlie Hardie,First,Jake Willingham,1,38,WON,34,57,29,30,95,45,41,60,90,0,4,0,16,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/STCaJMBPSRtg,Jake Willingham,First,Charlie Hardie,2,27,LOST,70,40,45,41,33,26,45,26,83,,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/STCaJMBPSRtg,Charlie Hardie,Second,Jake Willingham,2,26,WON,45,57,99,57,57,29,33,92,32,,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/Jz65KvOn6mBg,Ryan Smith,Second,Luke Lambourne,1,30,WON,44,60,27,45,100,37,24,60,29,75,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/Jz65KvOn6mBg,Luke Lambourne,First,Ryan Smith,1,30,LOST,45,27,40,9,40,45,77,38,45,36,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/Jz65KvOn6mBg,Ryan Smith,First,Luke Lambourne,2,27,LOST,55,26,45,41,30,40,60,54,40,,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/Jz65KvOn6mBg,Luke Lambourne,Second,Ryan Smith,2,25,WON,70,60,100,65,42,39,26,59,40,,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/Jz65KvOn6mBg,Ryan Smith,Second,Luke Lambourne,3,27,WON,36,85,121,31,94,41,38,0,55,,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/Jz65KvOn6mBg,Luke Lambourne,First,Ryan Smith,3,27,LOST,60,95,85,41,60,26,54,55,19,,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/db4k3W6MRk1e,Kean Evans,First,Jake Willingham,1,46,WON,100,119,45,41,40,84,32,0,5,3,8,0,12,0,0,12,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/db4k3W6MRk1e,Jake Willingham,Second,Kean Evans,1,45,LOST,60,112,22,17,37,76,10,25,38,13,44,28,0,3,0,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/db4k3W6MRk1e,Kean Evans,Second,Jake Willingham,2,35,WON,58,26,59,42,60,60,115,41,0,30,0,10,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/db4k3W6MRk1e,Jake Willingham,First,Kean Evans,2,36,LOST,45,41,100,41,43,24,37,24,90,42,0,0,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/kMp6Y02TpFcw,Luke Lambourne,First,Charlie Hardie,1,34,WON,62,45,21,42,60,83,82,71,25,0,0,10,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/kMp6Y02TpFcw,Charlie Hardie,Second,Luke Lambourne,1,33,LOST,30,83,57,57,83,82,37,23,41,0,0,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/kMp6Y02TpFcw,Luke Lambourne,Second,Charlie Hardie,2,12,LOST,140,60,59,28,,,,,,,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/kMp6Y02TpFcw,Charlie Hardie,First,Luke Lambourne,2,15,WON,83,85,140,100,93,,,,,,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/kMp6Y02TpFcw,Luke Lambourne,First,Charlie Hardie,3,27,LOST,81,32,59,24,30,43,49,57,40,,,,,,,,
Ruislip,,,28/02/2025,Group 1,https://www.dartsatlas.com/matches/kMp6Y02TpFcw,Charlie Hardie,Second,Luke Lambourne,3,25,WON,45,57,133,45,51,56,82,28,4,,,,,,,,
